src_ip,dst_ip,src_mac,dst_mac,protocol_name,src_port,dst_port,modbus_trans_id,modbus_func_code,up_pkt_count,down_pkt_count,up_payload_count,down_payload_count,duration,up_payload_mean,down_payload_mean,up_payload_min,down_payload_min,up_payload_max,down_payload_max,up_payload_std,down_payload_std,up_time_interval_mean,down_time_interval_mean,up_time_interval_min,down_time_interval_min,up_time_interval_max,down_time_interval_max,up_time_interval_std,down_time_interval_std
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57074,502,0,0,3,0,96,0,3.034494,32.0,0,32,0,32,0,0.0,0,1.517247,0,1.512520,0,1.521974,0,0.004727,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57075,502,0,0,5,0,160,0,5.907005,32.0,0,32,0,32,0,0.0,0,1.47675125,0,1.372182,0,1.521908,0,0.06085598100176760769000565091,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57076,502,0,0,3,0,96,0,3.034517,32.0,0,32,0,32,0,0.0,0,1.5172585,0,1.512685,0,1.521832,0,0.0045735,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57077,502,0,0,5,0,160,0,5.906848,32.0,0,32,0,32,0,0.0,0,1.476712,0,1.372044,0,1.521820,0,0.06091258028108807672396648708,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57078,502,0,0,3,0,96,0,3.034410,32.0,0,32,0,32,0,0.0,0,1.517205,0,1.512759,0,1.521651,0,0.004446,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57079,502,0,0,4,0,128,0,5.907062,32.0,0,32,0,32,0,0.0,0,1.969020666666666666666666667,0,1.512785,0,2.872504,0,0.6388697291541958443078613898,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57081,502,0,0,5,0,160,0,5.906919,32.0,0,32,0,32,0,0.0,0,1.47672975,0,1.372227,0,1.521726,0,0.06081828397108471524092907905,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57082,502,0,0,4,0,128,0,5.906901,32.0,0,32,0,32,0,0.0,0,1.968967,0,1.512765,0,2.872269,0,0.6387417782922923854172610277,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57080,502,0,0,3,0,96,0,3.034350,32.0,0,32,0,32,0,0.0,0,1.517175,0,1.512753,0,1.521597,0,0.004422,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57083,502,0,0,3,0,96,0,3.034596,32.0,0,32,0,32,0,0.0,0,1.517298,0,1.512782,0,1.521814,0,0.004516,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57084,502,0,0,5,0,160,0,5.906875,32.0,0,32,0,32,0,0.0,0,1.47671875,0,1.372179,0,1.521835,0,0.06084591881291217710918415519,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57085,502,0,0,4,0,128,0,4.534469,32.0,0,32,0,32,0,0.0,0,1.511489666666666666666666667,0,1.500056,0,1.521768,0,0.008901454275691260451188712151,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57086,502,0,0,4,0,128,0,5.906714,32.0,0,32,0,32,0,0.0,0,1.968904666666666666666666667,0,1.512595,0,2.872308,0,0.6388137029798976446568842500,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57087,502,0,0,3,0,96,0,3.034451,32.0,0,32,0,32,0,0.0,0,1.5172255,0,1.512686,0,1.521765,0,0.0045395,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57088,502,0,0,4,0,128,0,4.534400,32.0,0,32,0,32,0,0.0,0,1.511466666666666666666666667,0,1.499919,0,1.521754,0,0.008958539179030374828437265888,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57089,502,0,0,4,0,128,0,5.906560,32.0,0,32,0,32,0,0.0,0,1.968853333333333333333333333,0,1.512843,0,2.871947,0,0.6385940551515406088974037919,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57090,502,0,0,5,0,160,0,5.906463,32.0,0,32,0,32,0,0.0,0,1.47661575,0,1.372117,0,1.521676,0,0.06083234126011837134739260558,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57091,502,0,0,4,0,128,0,5.906412,32.0,0,32,0,32,0,0.0,0,1.968804,0,1.512912,0,2.871780,0,0.6385105781676604298730114227,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57092,502,0,0,5,0,160,0,5.906460,32.0,0,32,0,32,0,0.0,0,1.476615,0,1.371813,0,1.521681,0,0.06099014800769055356236269000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57093,502,0,0,4,0,128,0,4.534569,32.0,0,32,0,32,0,0.0,0,1.511523,0,1.500155,0,1.521528,0,0.008778557550455921381210219574,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57095,502,0,0,5,0,160,0,5.906407,32.0,0,32,0,32,0,0.0,0,1.47660175,0,1.371794,0,1.521618,0,0.06098849231771105193959942046,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57096,502,0,0,4,0,128,0,4.534452,32.0,0,32,0,32,0,0.0,0,1.511484,0,1.500191,0,1.521501,0,0.008746433825660985738449222448,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,57097,502,0,0,4,0,128,0,5.906319,32.0,0,32,0,32,0,0.0,0,1.968773,0,1.512848,0,2.871982,0,0.6386749512237556562763959667,0
