src_ip,dst_ip,src_mac,dst_mac,protocol_name,src_port,dst_port,modbus_trans_id,modbus_func_code,up_pkt_count,down_pkt_count,up_payload_count,down_payload_count,duration,up_payload_mean,down_payload_mean,up_payload_min,down_payload_min,up_payload_max,down_payload_max,up_payload_std,down_payload_std,up_time_interval_mean,down_time_interval_mean,up_time_interval_min,down_time_interval_min,up_time_interval_max,down_time_interval_max,up_time_interval_std,down_time_interval_std
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58840,502,34819,12,2,0,566,0,0.441136,283.0,0,283,0,283,0,0.0,0,0.441136,0,0.441136,0,0.441136,0,0.000000,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58840,502,61597,231,1,0,60,0,0.000000,60.0,0,60,0,60,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58860,502,0,0,3,0,84,0,1.012194,28.0,0,20,0,32,0,5.65685424949,0,0.506097,0,0.008378,0,1.003816,0,0.497719,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58840,502,65279,142,1,0,283,0,0.000000,283.0,0,283,0,283,0,0.0,0,0,0,0,0,0,0,0,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58861,502,0,0,5,0,148,0,7.070553,29.6,0,20,0,32,0,4.8,0,1.76763825,0,0.063693,0,4.001387,0,1.460496875505280736990516114,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58862,502,0,0,5,0,160,0,15.007334,32.0,0,32,0,32,0,0.0,0,3.7518335,0,1.003045,0,8.000773,0,2.680157454062400789829884775,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58863,502,0,0,5,0,160,0,15.007062,32.0,0,32,0,32,0,0.0,0,3.7517655,0,1.002775,0,8.000761,0,2.680222161070094950422859125,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58864,502,0,0,5,0,160,0,15.006960,32.0,0,32,0,32,0,0.0,0,3.751740,0,1.002662,0,8.000770,0,2.680254376749341304953527965,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58865,502,0,0,5,0,160,0,15.006543,32.0,0,32,0,32,0,0.0,0,3.75163575,0,1.002237,0,8.000777,0,2.680365597274873153978263949,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58866,502,0,0,5,0,160,0,15.006105,32.0,0,32,0,32,0,0.0,0,3.75152625,0,1.001803,0,8.000773,0,2.680475124263735356331261305,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58867,502,0,0,5,0,160,0,15.005890,32.0,0,32,0,32,0,0.0,0,3.7514725,0,1.001591,0,8.000773,0,2.680530356866109061749020367,0
192.168.1.101,192.168.1.240,50:9a:4c:c1:b1:a7,00:80:f4:0d:e6:50,TCP,58868,502,0,0,5,0,160,0,15.005683,32.0,0,32,0,32,0,0.0,0,3.75142075,0,1.001393,0,8.000762,0,2.680579622493741091298242313,0
